Time (ms),Memory Allocated (KB),Memory Freed (KB),Peak Memory (KB),Stack Usage (KB),Memory_Delta,Memory_Utilization_Ratio
0,0.0,0.0,0.0,0.0,0.0,0.0
2285467,56.800000000000004,0.0,63.90703125,0.0,71.0,0.9860041228165347
2400932,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2402727,3182.6000000000004,0.0,3580.4460937500003,0.0,3978.25,0.999742807948216
2402919,15682.6,0.0,17642.97421875,0.0,19603.25,0.9999462012289233
2403111,28182.600000000002,0.0,31705.502343750002,0.0,35228.25,0.999969175192461
2403207,34432.6,0.0,38736.766406250004,0.0,43040.75,0.9999744071767359
2403303,40682.600000000006,0.0,45768.03046875,0.0,50853.25,0.9999780316310715
2403399,46932.600000000006,0.0,52799.29453125,0.0,58665.75,0.9999806907671638
2403495,53182.600000000006,0.0,59830.55859375,0.0,66478.25,0.9999827249113712
2403591,59432.600000000006,0.0,66861.82265625,0.0,74290.75,0.9999843312355767
2403687,65682.6,0.0,73893.08671875,0.0,82103.25,0.9999856318653635
2403783,71932.6,0.0,80924.35078125,0.0,89915.75,0.999986706482345
2403879,78182.6,0.0,87955.61484375001,0.0,97728.25,0.9999876092890682
2403975,84432.6,0.0,94986.87890625,0.0,105540.75,0.999988378439177
2404071,90682.6,0.0,102018.14296875,0.0,113353.25,0.9999890415679518
2404167,96932.6,0.0,109049.40703125,0.0,121165.75,0.9999896191832851
2404263,103182.6,0.0,116080.67109375,0.0,128978.25,0.9999901268242737
2404359,109432.6,0.0,123111.93515625001,0.0,136790.75,0.9999905764801166
2404455,115682.6,0.0,130143.19921875,0.0,144603.25,0.9999909775490625
2404551,121932.6,0.0,137174.46328125,0.0,152415.75,0.999991337502438
2404647,128182.6,0.0,144205.72734375,0.0,160228.25,0.9999916623544136
2404743,134432.6,0.0,151236.99140625002,0.0,168040.75,0.9999919570007312
2404839,140682.6,0.0,158268.25546875,0.0,175853.25,0.9999922254671395
2404935,146932.6,0.0,165299.51953125,0.0,183665.75,0.9999924710944259
2405031,153182.6,0.0,172330.78359375,0.0,191478.25,0.9999926966781514
2405127,159432.6,0.0,179362.04765625,0.0,199290.75,0.9999929045755178
2405223,165682.6,0.0,186393.31171875002,0.0,207103.25,0.9999930967880486
2405319,171932.6,0.0,193424.57578125,0.0,214915.75,0.9999932750262356
2405415,178182.6,0.0,200455.83984375,0.0,222728.25,0.9999934407605799
2405511,184432.6,0.0,207487.10390625,0.0,230540.75,0.9999935952622562
2405607,190682.6,0.0,214518.36796875,0.0,238353.25,0.9999937396357785
2405703,196932.6,0.0,221549.63203125002,0.0,246165.75,0.999993874845447
2405799,203182.6,0.0,228580.89609375,0.0,253978.25,0.9999940017369124
2405895,209432.6,0.0,235612.16015625,0.0,261790.75,0.999994121054881
2405991,215682.6,0.0,242643.42421875,0.0,269603.25,0.999994233457739
2406087,221932.6,0.0,249674.68828125,0.0,277415.75,0.9999943395297084
2406183,228182.6,0.0,256705.95234375002,0.0,285228.25,0.999994439791003
2406279,234432.6,0.0,263737.21640625,0.0,293040.75,0.9999945347063608
2406375,240682.6,0.0,270768.48046875,0.0,300853.25,0.9999946246922474
2406471,246932.6,0.0,277799.74453125003,0.0,308665.75,0.9999947101229644
2406567,253182.6,0.0,284831.00859375,0.0,316478.25,0.9999947913358538
2406663,259432.6,0.0,291862.27265625,0.0,324290.75,0.9999948686357502
2406759,265682.60000000003,0.0,298893.53671875,0.0,332103.25,0.9999949422988043
2406855,271932.60000000003,0.0,305924.80078125,0.0,339915.75,0.9999950125757787
2406951,278182.60000000003,0.0,312956.06484375003,0.0,347728.25,0.9999950796949006
2407047,284432.60000000003,0.0,319987.32890625,0.0,355540.75,0.9999951438643374
2407143,290682.60000000003,0.0,327018.59296875,0.0,363353.25,0.999995205274353
2407239,296932.60000000003,0.0,334049.85703125,0.0,371165.75,0.9999952640991924
2407335,303182.60000000003,0.0,341081.12109375,0.0,378978.25,0.9999953204987326
2407431,309432.60000000003,0.0,348112.38515625003,0.0,386790.75,0.9999953746199336
2417151,312557.60000000003,0.0,351628.0171875,0.0,390697.0,0.9999954008688678
2418798,312500.0,0.0,351563.203125,0.0,390625.0,0.9999954400207935
